moment_id,comment_id,gender,age,city,province,profession,education,content,reply_num,thumbs_up_num,vote_option_id
102529125,102536860,1,31,南京,江苏,传媒/艺术,2,互相喜欢已经很不容易了，不要再介意暂时异地了，介意暂时异地就是不够喜欢呢,15,126,3
102529125,102529436,1,27,安顺,贵州,高级管理,1,男还是女？男生的话不存在你说的问题。只要找到合适的，和另一半以后在哪里安家都行。如果是女生，那就不要轻易谈。,6,16,2
102529125,102731893,1,23,衡阳,湖南,销售,1,异地到最后分手的概率极大，出轨的概率更大,3,10,3
102529125,102582070,2,38,武汉,湖北,财会/审计,2,相爱的概率已经很低了，如果能和喜欢的人在一起，在哪里不是那么重要🙂🙂🙂,3,14,3
102529125,102552681,1,43,合肥,安徽,自由职业,2,博士还考虑不好这个问题，？？？,2,3,3
102529125,102531559,1,25,重庆,重庆,服务业,2,总不能回家找的对象都介意异地吧🤔,3,9,1
102529125,102530631,1,37,北京,北京,生产/制造,2,找个适合你的。比如不介意异地的，但异地恋聊胜于无，你也不能保证多久一定能调回去。要么就找个本地的，以后能跟你一起回家的。,3,33,3
102529125,102645237,1,23,上海,上海,人事/行政,2,"以下回答来自AI   !!!

这是一个很现实的问题，涉及到职业和家庭的抉择。以下是一些建议供你参考：
1.调整心态2.建立人脉3.考虑婚姻对象4.沟通与协调5.制定长远规划。
最终的决策取决于你个人的价值观和目标。可以根据自己的实际情况进行选择，最重要的是要为自己的选择负责，并积极面对未来的挑战和机遇。
",2,3,3
102529125,102639725,2,30,重庆,重庆,医疗/护理,2,先问问你自己的本心，再告诉你自己要接受每种选择的结果，而不是选择之后再来后悔并一直放大当中无关大碍的因素，比如未来的那位伴侣。,1,2,3
102529125,103316628,1,35,郑州,河南,教育/科研,2,从老家带个对象过来,0,0,3
102529125,103300340,1,37,南京,江苏,医疗/护理,4,找对象，不影响。有能力哪里都可以去,0,0,3
102529125,103291082,1,33,西安,陕西,生产/制造,2,距离不是能让你们的感情升华么,0,0,3
102529125,103280785,1,25,北京,北京,学生,3,建议把“评论区见”选项放A，避免不思考纯领币党干扰统计,0,0,3
102529125,103279371,2,25,遵义,贵州,医疗/护理,1,喜欢和爱是相互的,0,0,3
102529125,103276451,2,34,六盘水,贵州,教育/科研,3,两节课,0,0,1
102529125,103272010,1,33,乌鲁木齐,新疆,交通运输,1,有了家就真的不一样了，异地苦,0,0,1
